WARNING: The article with URL http://www.nytimes.com/2014/09/19/movies/a-life-in-dirty-movies-from-wiktor-ericsson.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/09/17/sports/baseball/yankees-lose-martin-prado-to-an-appendectomy.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/09/15/business/media/scandal-inspires-clothing-line-at-the-limited.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/09/12/world/middleeast/try-as-he-may-john-mccain-cant-shake-falsehoods-about-ties-to-isis.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/08/31/fashion/weddings/florencia-segura-ali-damavandy.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/08/31/upshot/babys-drug-co-pay-jumps-and-a-health-reporter-is-stumped.html has already been added, skipping...
WARNING: The article with URL http://tmagazine.blogs.nytimes.com/2014/08/20/jewelry-report-mahnaz-ispahani-bartos/ has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/08/08/upshot/ocean-liners-set-records-6-years-into-the-jet-age.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/08/08/arts/television/the-knick-a-cinemax-medical-drama-set-in-1900.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/08/07/world/middleeast/islamic-militants-in-iraq-are-widely-loathed-yet-action-to-curb-them-is-elusive.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/07/27/nyregion/on-the-upper-west-side-a-house-divided-by-income.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/07/21/opinion/the-challenge-for-indonesia.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/07/13/sports/worldcup/world-cup-2014-netherlands-blanks-brazil-to-finish-in-third-place.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/07/07/nyregion/new-york-prison-archives-are-digitized-by-ancestry-com.html has already been added, skipping...
WARNING: The article with URL http://wordplay.blogs.nytimes.com/2014/06/30/burden-of-proof/ has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/07/01/nyregion/queens-man-charged-in-strangling-death-of-his-son-8.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/06/29/fashion/weddings/megan-robottom-zachary-halsey.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/06/28/opinion/gail-collins-the-eggs-and-us.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/06/26/garden/rustic-raw-and-thoroughly-modern.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/06/24/world/europe/polands-prime-minister-says-he-wont-dismiss-officials-caught-on-leaked-tapes.html has already been added, skipping...
WARNING: The article with URL http://bits.blogs.nytimes.com/2014/06/20/readers-respond-love-and-hate-for-guns-and-video-games/ has already been added, skipping...
WARNING: The article with URL http://artsbeat.blogs.nytimes.com/2014/06/08/penny-dreadful-recap-vanessas-sin-and-obsession/ has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/06/09/arts/dance/diary-of-an-image-tries-to-define-dd-dorvillier.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/06/07/sports/hat-trick-in-us-womens-field-hockeys-shutout-of-china.html has already been added, skipping...
WARNING: The article with URL http://wordplay.blogs.nytimes.com/2014/06/06/show-up-at-dinner/ has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/06/06/arts/music/janelle-monae-kicks-off-celebrate-brooklyn.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/05/28/travel/the-poconos-for-a-pittance.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/news/minute/2014/05/23/times-minute-pope-visits-the-holy-land/ has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/video/opinion/100000002890230/wiring-the-amazon.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/05/16/arts/international/chinas-edgy-video-art.html has already been added, skipping...
WARNING: The article with URL http://dealbook.nytimes.com/2014/05/15/2-apollo-global-executives-reduce-their-stakes/ has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/05/14/dining/q-a-making-steak-on-the-stovetop.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/05/18/theater/nationwide-theater-listings.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/05/14/us/justice-dept-criticized-on-spying-statements.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/video/multimedia/100000002874945/times-minute-eastern-ukraines-vote.html has already been added, skipping...
WARNING: The article with URL http://cityroom.blogs.nytimes.com/2014/05/08/requesting-a-handout-in-2-acts/ has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/04/29/sports/football/giants-add-fifth-quarterback.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/04/23/sports/baseball/harvey-deletes-twitter-account-after-obscene-gesture-goes-viral.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/04/23/automobiles/30000-golf-carts-and-4000-heavy-duty-ford-trucks-recalled.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/04/23/sports/ncaafootball/collegians-early-case-for-employee-rights-echoes-still.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/04/19/arts/television/whats-on-saturday.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/04/19/pageoneplus/corrections-april-19-2014.html has already been added, skipping...
WARNING: The article with URL http://www.nytimes.com/2014/04/19/opinion/in-defense-of-veterans.html has already been added, skipping...
